DATE,USD1MTD156N,USD2MTD156N,USD3MTD156N,USD4MTD156N,USD5MTD156N,USD6MTD156N,USD7MTD156N,USD8MTD156N,USD9MTD156N,USD10MD156N,USD11MD156N,USD12MD156N
1987-01-02,6.5,6.375,6.3125,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
1987-01-05,6.375,6.3125,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
1987-01-06,6.375,6.3125,6.25,6.25,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875
1987-01-07,6.375,6.3125,6.25,6.20313,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875
1987-01-08,6.25,6.1875,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
1987-01-09,6.125,6.125,6.125,6.0625,6.0625,6.0625,6.0625,6.0625,6.0625,6.0625,6.0625,6.0625
1987-01-12,6.1875,6.1875,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
1987-01-13,6.29688,6.28125,6.23438,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875
1987-01-14,6.34375,6.3125,6.25,6.25,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875
1987-01-15,6.25,6.25,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875
1987-01-16,6.1875,6.1875,6.1875,6.125,6.125,6.125,6.125,6.125,6.1875,6.1875,6.1875,6.1875
1987-01-19,6.25,6.25,6.25,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875
1987-01-20,6.20313,6.20313,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875
1987-01-21,6.1875,6.1875,6.1875,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.15625
1987-01-22,6.1875,6.1875,6.1875,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.17188
1987-01-23,6.1875,6.1875,6.1875,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
1987-01-26,6.25,6.25,6.25,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.1875,6.20313
1987-01-27,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
1987-01-28,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.29688
1987-01-29,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.26563
1987-01-30,6.20313,6.25,6.25,6.23438,6.23438,6.23438,6.25,6.25,6.25,6.25,6.25,6.25
1987-02-02,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125
1987-02-03,6.26563,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125
1987-02-04,6.25,6.25,6.28125,6.28125,6.28125,6.28125,6.28125,6.28125,6.3125,6.3125,6.3125,6.3125
1987-02-05,6.1875,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.3125
1987-02-06,6.1875,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.3125
1987-02-09,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.3125,6.375
1987-02-10,6.4375,6.4375,6.4375,6.4375,6.4375,6.4375,6.4375,6.4375,6.45313,6.45313,6.45313,6.5
1987-02-11,6.54688,6.5625,6.5625,6.5625,6.5625,6.5625,6.5625,6.5625,6.5625,6.57813,6.59375,6.625
1987-02-12,6.5,6.5625,6.5625,6.5625,6.5625,6.5625,6.5625,6.5625,6.625,6.625,6.625,6.625
1987-02-13,6.4375,6.46875,6.46875,6.48438,6.48438,6.48438,6.48438,6.48438,6.5,6.5,6.5,6.51563
1987-02-16,6.5,6.5625,6.5625,6.5625,6.5625,6.5625,6.5625,6.5625,6.625,6.625,6.625,6.625
1987-02-17,6.5625,6.6875,6.6875,6.6875,6.6875,6.6875,6.6875,6.6875,6.6875,6.6875,6.75,6.75
1987-02-18,6.5,6.6875,6.625,6.625,6.625,6.625,6.625,6.625,6.6875,6.6875,6.70313,6.75
1987-02-19,6.375,6.5625,6.5,6.5,6.5,6.5,6.5,6.5,6.53125,6.54688,6.5625,6.5625
1987-02-20,6.3125,6.5,6.4375,6.4375,6.4375,6.4375,6.4375,6.4375,6.4375,6.48438,6.5,6.5
