DATE,USD1MTD156N,USD2MTD156N,USD3MTD156N,USD4MTD156N,USD5MTD156N,USD6MTD156N,USD7MTD156N,USD8MTD156N,USD9MTD156N,USD10MD156N,USD11MD156N,USD12MD156N
2001-01-02,6.5475,6.45875,6.37125,6.29875,6.23,6.16375,6.115,6.06375,6.01375,5.99125,5.96875,5.9425
2001-01-03,6.5075,6.39375,6.28625,6.20875,6.13,6.05375,5.995,5.93125,5.87125,5.84375,5.815,5.78875
2001-01-04,6.05,5.95375,5.86625,5.81375,5.76125,5.7075,5.67,5.63375,5.5975,5.58,5.56625,5.555
2001-01-05,5.93625,5.805,5.695,5.62625,5.56875,5.51625,5.47625,5.435,5.3975,5.385,5.375,5.365
2001-01-08,5.88375,5.75,5.61625,5.54375,5.4725,5.41938,5.385,5.355,5.3325,5.3225,5.31125,5.3025
2001-01-09,5.88125,5.75,5.62375,5.5525,5.4825,5.43625,5.4025,5.3725,5.34625,5.335,5.32625,5.31625
2001-01-10,5.88625,5.76125,5.65,5.5875,5.52,5.46875,5.43875,5.4125,5.38625,5.37625,5.36625,5.3575
2001-01-11,5.8825,5.765,5.67625,5.61,5.55,5.505,5.4775,5.45,5.42625,5.41625,5.40875,5.39875
2001-01-12,5.88063,5.7675,5.67875,5.60875,5.55125,5.5075,5.47625,5.45,5.42625,5.415,5.40625,5.39625
2001-01-15,5.91063,5.81375,5.74125,5.68375,5.635,5.605,5.575,5.54625,5.52625,5.52125,5.51375,5.51063
2001-01-16,5.90125,5.8075,5.73875,5.67875,5.6225,5.58875,5.56,5.53,5.50875,5.50375,5.4975,5.49375
2001-01-17,5.89875,5.81,5.73875,5.6775,5.62125,5.595,5.56438,5.53625,5.51375,5.51125,5.50375,5.5025
2001-01-18,5.83625,5.73,5.64875,5.5825,5.52563,5.4825,5.45125,5.42,5.39125,5.3825,5.375,5.3725
2001-01-19,5.78875,5.69,5.61125,5.55875,5.49875,5.45,5.41625,5.3825,5.35,5.34,5.33625,5.32875
2001-01-22,5.72625,5.66,5.58125,5.53125,5.47875,5.43,5.3925,5.36125,5.33,5.32625,5.3225,5.3175
2001-01-23,5.71375,5.65125,5.5725,5.5275,5.47,5.42125,5.38625,5.3525,5.32,5.31625,5.31,5.30625
2001-01-24,5.74125,5.6775,5.61,5.56,5.51125,5.46313,5.43125,5.40125,5.37563,5.37,5.36313,5.36
2001-01-25,5.715,5.66125,5.5975,5.55,5.50125,5.45375,5.42375,5.39375,5.37375,5.37125,5.3675,5.36625
2001-01-26,5.685,5.63,5.5675,5.5125,5.46,5.41125,5.37875,5.3525,5.3325,5.33125,5.33,5.33
2001-01-29,5.6475,5.6075,5.5425,5.48375,5.43375,5.37625,5.35,5.32625,5.305,5.30375,5.30375,5.305
2001-01-30,5.625,5.58625,5.525,5.47,5.41875,5.3625,5.33375,5.30875,5.28625,5.285,5.285,5.2875
2001-01-31,5.57,5.50375,5.42125,5.36875,5.31125,5.2625,5.23125,5.20125,5.175,5.17375,5.17375,5.17375
2001-02-01,5.56,5.48,5.39,5.33125,5.27125,5.22,5.1825,5.1525,5.12,5.12,5.11375,5.11
2001-02-02,5.565,5.48625,5.3975,5.34,5.28,5.23,5.2,5.17,5.14125,5.13625,5.1325,5.13125
2001-02-05,5.57375,5.5,5.41,5.36,5.31,5.27,5.2425,5.22125,5.2,5.2,5.2,5.2
2001-02-06,5.5725,5.5,5.41,5.36,5.31,5.27,5.24125,5.22125,5.2,5.2,5.2,5.2
2001-02-07,5.57,5.5,5.41,5.36,5.31,5.27,5.23875,5.2175,5.19625,5.19375,5.19375,5.19375
2001-02-08,5.57125,5.5,5.40875,5.36,5.31,5.27,5.24125,5.22125,5.2,5.2,5.2,5.2
2001-02-09,5.57125,5.5,5.41,5.36,5.31,5.27,5.24125,5.22125,5.2,5.2,5.2,5.2
2001-02-12,5.56875,5.4875,5.3875,5.33125,5.2725,5.22563,5.19375,5.1675,5.14375,5.1425,5.14375,5.145
2001-02-13,5.56875,5.49,5.38875,5.3325,5.28,5.23,5.20375,5.18125,5.16,5.16,5.1625,5.1625
2001-02-14,5.57,5.49375,5.4,5.34375,5.3,5.26125,5.24,5.22,5.21,5.20875,5.2125,5.2175
2001-02-15,5.58,5.5,5.4125,5.36375,5.33125,5.3025,5.29,5.28,5.275,5.2825,5.295,5.30375
2001-02-16,5.58,5.5,5.41,5.35875,5.32875,5.2975,5.2825,5.27375,5.2675,5.27375,5.28625,5.295
2001-02-19,5.57563,5.48375,5.38313,5.3275,5.285,5.235,5.21125,5.19625,5.17625,5.18125,5.18875,5.1975
2001-02-20,5.57,5.48,5.38,5.32875,5.28375,5.235,5.21375,5.19625,5.18375,5.19,5.19625,5.20375
2001-02-21,5.56125,5.47,5.37,5.32,5.275,5.225,5.205,5.19,5.17375,5.17938,5.19,5.19375
2001-02-22,5.53,5.44125,5.345,5.28375,5.23125,5.18375,5.16375,5.145,5.12625,5.1325,5.1375,5.14625
2001-02-23,5.4775,5.39,5.3,5.24125,5.1925,5.15,5.13,5.11,5.0975,5.1025,5.11,5.12
2001-02-26,5.38125,5.28,5.19375,5.14,5.09,5.04,5.02,5,4.98,4.985,4.99125,4.9975
2001-02-27,5.28125,5.17125,5.10375,5.055,5.005,4.95625,4.9375,4.92,4.9025,4.91,4.915,4.9225
2001-02-28,5.2075,5.11875,5.0525,4.99875,4.95,4.9075,4.89,4.8725,4.86125,4.87,4.87875,4.88375
2001-03-01,5.2925,5.15,5.08875,5.04,4.99875,4.95125,4.93125,4.9125,4.895,4.9,4.9075,4.91125
2001-03-02,5.29,5.1525,5.0825,5.04,5,4.96875,4.95,4.93,4.91,4.91875,4.9225,4.93
